,Bottle Position,Conductivity [S/m],"Conductivity, 2 [S/m]","Beam Attenuation, WET Labs C-Star [1/m]","Beam Transmission, WET Labs C-Star [%]",Cast,Cruise ID,Date Time,"Depth [salt water, m]",Hex name,Latitude [deg],Longitude [deg],"Oxygen Saturation, Garcia & Gordon [ml/l]","Pressure, Digiquartz [db]","Salinity, Practical [PSU]","Salinity, Practical, 2 [PSU]","Oxygen, SBE 43 [ml/l]",Start Latitude,Start Longitude,Start Time,"Temperature [ITS-90, deg C]","Temperature, 2 [ITS-90, deg C]"
0,1,3.455169,3.454611,19.0368, 0.8578 (avg),1,ar30-03,Jun 06 2018 09:26:42,146.727,D:\Data\ar30-03001.hex,62.7739,-28.653190000000002,6.88271,148.209,34.9512,34.9511,6.2855,62 46.29 N,028 39.40 W,2018-06-06T08:16:04Z,6.1764,6.1704
1,2,3.4766230000000005,3.4765910000000004,19.1611, 0.8311 (avg),1,ar30-03,Jun 06 2018 09:31:25,104.726,D:\Data\ar30-03001.hex,62.774080000000005,-28.652959999999997,6.84254,105.773,34.9553,34.9554,6.3981,62 46.29 N,028 39.40 W,2018-06-06T08:16:04Z,6.4277,6.4273
2,3,3.5055440000000004,3.505613,21.4223, 0.4769 (avg),1,ar30-03,Jun 06 2018 09:36:05,40.167,D:\Data\ar30-03001.hex,62.77418,-28.6528,6.788989999999999,40.563,34.9647,34.9645,6.6604,62 46.29 N,028 39.40 W,2018-06-06T08:16:04Z,6.7659,6.7668
3,4,3.540467,3.5422290000000003,26.6674, 0.1282 (avg),1,ar30-03,Jun 06 2018 09:38:14,23.168000000000003,D:\Data\ar30-03001.hex,62.7742,-28.65278,6.72998,23.395,34.9734,34.9686,7.0707,62 46.29 N,028 39.40 W,2018-06-06T08:16:04Z,7.1446,7.1685
4,5,3.558928,3.558911,28.1697, 0.1376 (avg),1,ar30-03,Jun 06 2018 09:39:31,15.343,D:\Data\ar30-03001.hex,62.77426,-28.65268,6.6980699999999995,15.493,34.9664,34.9663,7.0591,62 46.29 N,028 39.40 W,2018-06-06T08:16:04Z,7.3552,7.3551
5,6,3.5596660000000004,3.559626,22.2056, 0.3952 (avg),1,ar30-03,Jun 06 2018 09:41:34,2.713,D:\Data\ar30-03001.hex,62.774319999999996,-28.65258,6.6958899999999995,2.739,34.9664,34.9657,7.0726,62 46.29 N,028 39.40 W,2018-06-06T08:16:04Z,7.3695,7.3698
6,7,3.559819,3.5598339999999995,22.1383, 0.3963 (avg),1,ar30-03,Jun 06 2018 09:41:42,2.943,D:\Data\ar30-03001.hex,62.774319999999996,-28.65257,6.69567,2.972,34.9665,34.9664,7.0735,62 46.29 N,028 39.40 W,2018-06-06T08:16:04Z,7.371,7.3712
0,1,3.491486,3.4915529999999997,16.6596, 1.5555 (avg),02b,ar30-03,Jun 06 2018 14:24:52,153.80700000000002,D:\Data\ar30-03002b.hex,62.5042,-29.798340000000003,6.8232,155.36,34.9768,34.9768,6.2735,62 30.13 N,029 47.90 W,2018-06-06T14:12:41Z,6.5441,6.5448
1,2,3.49632,3.4963519999999995,17.7897, 1.1718 (avg),02b,ar30-03,Jun 06 2018 14:27:57,98.94200000000001,D:\Data\ar30-03002b.hex,62.504709999999996,-29.798340000000003,6.80975,99.927,34.9689,34.969,6.4129,62 30.13 N,029 47.90 W,2018-06-06T14:12:41Z,6.6319,6.6321
2,3,3.51497,3.515027,17.3674, 1.3014 (avg),02b,ar30-03,Jun 06 2018 14:31:07,39.068000000000005,D:\Data\ar30-03002b.hex,62.505230000000005,-29.79833,6.7739199999999995,39.452,34.9736,34.9738,6.5663,62 30.13 N,029 47.90 W,2018-06-06T14:12:41Z,6.8601,6.8605
3,4,3.5455,3.546033,17.4135, 1.2887 (avg),02b,ar30-03,Jun 06 2018 14:33:15,26.037,D:\Data\ar30-03002b.hex,62.50557,-29.79836,6.72192,26.291999999999998,34.9744,34.9748,6.9243,62 30.13 N,029 47.90 W,2018-06-06T14:12:41Z,7.1968,7.2022
4,5,3.55365,3.5536980000000002,16.9543, 1.4429 (avg),02b,ar30-03,Jun 06 2018 14:35:02,14.388,D:\Data\ar30-03002b.hex,62.50585,-29.798340000000003,6.70754,14.527999999999999,34.9743,34.9744,7.0344,62 30.13 N,029 47.90 W,2018-06-06T14:12:41Z,7.2909,7.2913
5,6,3.554467,3.554497,17.1284, 1.3822 (avg),02b,ar30-03,Jun 06 2018 14:36:21,4.6419999999999995,D:\Data\ar30-03002b.hex,62.50603,-29.798309999999997,6.7054100000000005,4.687,34.974,34.9743,7.0305,62 30.13 N,029 47.90 W,2018-06-06T14:12:41Z,7.3049,7.3048
6,7,3.554469,3.5545129999999996,17.2774, 1.3312 (avg),02b,ar30-03,Jun 06 2018 14:36:29,4.53,D:\Data\ar30-03002b.hex,62.50605,-29.7983,6.7054100000000005,4.574,34.9741,34.9744,7.0371,62 30.13 N,029 47.90 W,2018-06-06T14:12:41Z,7.3049,7.305
0,1,3.137537,3.137507,24.1139, 0.2413 (avg),3,ar30-03,Jun 07 2018 09:20:35,2948.9390000000003,D:\Data\ar30-03003.hex,60.8898,-35.35597,7.74242,2998.402,34.8842,34.8818,6.5627,60 53.48 N,035 21.66 W,2018-06-07T08:19:03Z,1.352,1.3538
1,2,3.268464,3.2684330000000004,55.262,-0.2524 (avg),3,ar30-03,Jun 07 2018 09:34:15,2500.937,D:\Data\ar30-03003.hex,60.889619999999994,-35.35485,7.4264600000000005,2540.1910000000003,34.9261,34.9243,6.0296,60 53.48 N,035 21.66 W,2018-06-07T08:19:03Z,3.0054,3.0067
2,3,3.289796,3.2898050000000003,55.262,-0.2075 (avg),3,ar30-03,Jun 07 2018 09:52:05,2000.07,D:\Data\ar30-03003.hex,60.889469999999996,-35.35385,7.3433600000000006,2029.0410000000002,34.9399,34.9387,5.9515,60 53.48 N,035 21.66 W,2018-06-07T08:19:03Z,3.4602,3.4615
3,4,3.274421,3.274428,55.262,-0.0464 (avg),3,ar30-03,Jun 07 2018 10:05:07,1601.98,D:\Data\ar30-03003.hex,60.88933000000001,-35.352959999999996,7.3358300000000005,1623.636,34.8966,34.8959,6.2236,60 53.48 N,035 21.66 W,2018-06-07T08:19:03Z,3.5143,3.515
4,5,3.246366,3.2463740000000003,55.262,-0.0935 (avg),3,ar30-03,Jun 07 2018 10:16:10,1301.05,D:\Data\ar30-03003.hex,60.8892,-35.352109999999996,7.36268,1317.684,34.863,34.8626,6.5492,60 53.48 N,035 21.66 W,2018-06-07T08:19:03Z,3.3742,3.3746
5,6,3.244405,3.24442,55.262,-0.5363 (avg),3,ar30-03,Jun 07 2018 10:27:13,1002.3839999999999,D:\Data\ar30-03003.hex,60.889019999999995,-35.35098,7.342110000000001,1014.4680000000001,34.8769,34.8767,6.5509,60 53.48 N,035 21.66 W,2018-06-07T08:19:03Z,3.4847,3.4851
6,7,3.242305,3.242309,55.262,-0.8099 (avg),3,ar30-03,Jun 07 2018 10:38:53,803.551,D:\Data\ar30-03003.hex,60.888819999999996,-35.34967,7.32948,812.847,34.8835,34.8835,6.554,60 53.48 N,035 21.66 W,2018-06-07T08:19:03Z,3.5534,3.5535
7,8,3.242139,3.2421900000000003,55.262,-0.8599 (avg),3,ar30-03,Jun 07 2018 10:48:09,602.797,D:\Data\ar30-03003.hex,60.88873,-35.34912,7.31265,609.4730000000001,34.8902,34.8903,6.5494,60 53.48 N,035 21.66 W,2018-06-07T08:19:03Z,3.6459,3.6464
8,9,3.2413220000000003,3.241387,55.262,-0.9923 (avg),3,ar30-03,Jun 07 2018 10:57:27,403.215,D:\Data\ar30-03003.hex,60.88864,-35.348459999999996,7.296069999999999,407.483,34.8883,34.8886,6.548,60 53.48 N,035 21.66 W,2018-06-07T08:19:03Z,3.7398,3.7402
9,10,3.2598439999999997,3.2598990000000003,55.262,-0.9556 (avg),3,ar30-03,Jun 07 2018 11:07:04,203.6,D:\Data\ar30-03003.hex,60.8885,-35.34776,7.241680000000001,205.655,34.8895,34.8898,6.4619,60 53.48 N,035 21.66 W,2018-06-07T08:19:03Z,4.0482,4.0485
10,11,3.313183,3.3132580000000003,55.262,-0.5936 (avg),3,ar30-03,Jun 07 2018 11:15:03,104.353,D:\Data\ar30-03003.hex,60.88844,-35.34732,7.13055,105.38,34.8914,34.8917,6.6791,60 53.48 N,035 21.66 W,2018-06-07T08:19:03Z,4.6914,4.6919
11,12,3.3131779999999997,3.3131839999999997,55.262,-0.6047 (avg),3,ar30-03,Jun 07 2018 11:15:11,104.523,D:\Data\ar30-03003.hex,60.88844,-35.34732,7.13057,105.552,34.8914,34.8917,6.6804,60 53.48 N,035 21.66 W,2018-06-07T08:19:03Z,4.6913,4.6911
12,13,3.367401,3.3676660000000003,55.262,-0.6728 (avg),3,ar30-03,Jun 07 2018 11:19:02,44.471000000000004,D:\Data\ar30-03003.hex,60.8884,-35.34704,7.02385,44.903,34.885,34.8852,6.8531,60 53.48 N,035 21.66 W,2018-06-07T08:19:03Z,5.3283,5.331
13,14,3.372497,3.3725300000000002,55.262,-0.7018 (avg),3,ar30-03,Jun 07 2018 11:21:46,25.053,D:\Data\ar30-03003.hex,60.88836,-35.34688,7.012560000000001,25.295,34.8819,34.8821,6.9281,60 53.48 N,035 21.66 W,2018-06-07T08:19:03Z,5.3974,5.3975
14,15,3.3758790000000003,3.3759339999999995,55.262,-0.7738 (avg),3,ar30-03,Jun 07 2018 11:23:52,15.126,D:\Data\ar30-03003.hex,60.88836,-35.346740000000004,7.00525,15.272,34.8792,34.8795,6.9223,60 53.48 N,035 21.66 W,2018-06-07T08:19:03Z,5.4424,5.4426
15,16,3.378711,3.37879,55.262,-0.7495 (avg),3,ar30-03,Jun 07 2018 11:30:02,4.657,D:\Data\ar30-03003.hex,60.88828,-35.34618,6.999219999999999,4.702,34.8791,34.8794,6.9351,60 53.48 N,035 21.66 W,2018-06-07T08:19:03Z,5.479,5.4796
16,17,3.378735,3.378797,55.262,-0.7421 (avg),3,ar30-03,Jun 07 2018 11:30:11,4.396,D:\Data\ar30-03003.hex,60.888259999999995,-35.34616,6.99914,4.438,34.879,34.8794,6.9333,60 53.48 N,035 21.66 W,2018-06-07T08:19:03Z,5.4795,5.4798
0,1,3.260234,3.260234,55.262,-0.4348 (avg),4,ar30-03,Jun 07 2018 16:05:03,2500.35,D:\Data\ar30-03004.hex,60.6375,-36.514379999999996,7.44394,2539.541,34.9298,34.9286,5.9833,60 38.27 N,036 30.62 W,2018-06-07T15:13:41Z,2.9091,2.9103
1,2,3.266743,3.2667450000000002,55.262,-0.4268 (avg),4,ar30-03,Jun 07 2018 16:15:05,2249.528,D:\Data\ar30-03004.hex,60.63754,-36.515229999999995,7.4104600000000005,2283.425,34.9356,34.9346,5.9588,60 38.27 N,036 30.62 W,2018-06-07T15:13:41Z,3.0904,3.0913
2,3,3.2725020000000002,3.272488,55.262,-0.6836 (avg),4,ar30-03,Jun 07 2018 16:25:24,2000.28,D:\Data\ar30-03004.hex,60.63757,-36.51578,7.37787,2029.215,34.9352,34.9345,5.9636,60 38.27 N,036 30.62 W,2018-06-07T15:13:41Z,3.27,3.2704
3,4,3.282061,3.2820910000000003,55.262,-0.6052 (avg),4,ar30-03,Jun 07 2018 16:38:17,1600.943,D:\Data\ar30-03004.hex,60.63759,-36.51647,7.325060000000001,1622.549,34.9356,34.9356,5.9619,60 38.27 N,036 30.62 W,2018-06-07T15:13:41Z,3.5637,3.5641
4,5,3.267779,3.267811,55.262,-0.7412 (avg),4,ar30-03,Jun 07 2018 16:49:06,1299.907,D:\Data\ar30-03004.hex,60.637640000000005,-36.51722,7.3248,1316.497,34.9085,34.9088,6.1583,60 38.27 N,036 30.62 W,2018-06-07T15:13:41Z,3.5726,3.5727
5,6,3.24875,3.248772,55.262,-0.4124 (avg),4,ar30-03,Jun 07 2018 17:00:04,1002.689,D:\Data\ar30-03004.hex,60.63766999999999,-36.51806,7.33466,1014.757,34.8877,34.8883,6.3505,60 38.27 N,036 30.62 W,2018-06-07T15:13:41Z,3.5233,3.523
6,7,3.24542,3.245485,55.262,-0.4828 (avg),4,ar30-03,Jun 07 2018 17:10:03,802.928,D:\Data\ar30-03004.hex,60.63768,-36.51855,7.32401,812.199,34.8906,34.8913,6.4069,60 38.27 N,036 30.62 W,2018-06-07T15:13:41Z,3.5821,3.5821
7,8,3.2481259999999996,3.248173,55.262,-0.5567 (avg),4,ar30-03,Jun 07 2018 17:20:04,603.405,D:\Data\ar30-03004.hex,60.6377,-36.518840000000004,7.30169,610.077,34.8981,34.899,6.3652,60 38.27 N,036 30.62 W,2018-06-07T15:13:41Z,3.7053,3.705
8,9,3.257542,3.257591,55.262,-0.6574 (avg),4,ar30-03,Jun 07 2018 17:29:21,403.722,D:\Data\ar30-03004.hex,60.6377,-36.5188,7.26553,407.98800000000006,34.9012,34.9021,6.2618,60 38.27 N,036 30.62 W,2018-06-07T15:13:41Z,3.909,3.9088
9,10,3.261141,3.261201,55.262,-0.5437 (avg),4,ar30-03,Jun 07 2018 17:38:23,203.614,D:\Data\ar30-03004.hex,60.6377,-36.51898,7.236860000000001,205.66400000000002,34.8698,34.8708,6.703,60 38.27 N,036 30.62 W,2018-06-07T15:13:41Z,4.0812,4.0809
10,11,3.295519,3.295844,55.262,-0.6447 (avg),4,ar30-03,Jun 07 2018 17:45:32,104.67299999999999,D:\Data\ar30-03004.hex,60.63771,-36.51897,7.161560000000001,105.70100000000001,34.8689,34.8702,6.7184,60 38.27 N,036 30.62 W,2018-06-07T15:13:41Z,4.5163,4.5187
11,12,3.4187019999999997,3.4188940000000003,55.262,-0.7001 (avg),4,ar30-03,Jun 07 2018 17:53:45,5.171,D:\Data\ar30-03004.hex,60.637719999999995,-36.51891,6.92565,5.22,34.8626,34.8637,6.9527,60 38.27 N,036 30.62 W,2018-06-07T15:13:41Z,5.9345,5.9356
0,1,3.166069,3.1660619999999997,19.8462, 0.7003 (avg),5,ar30-03,Jun 08 2018 19:05:23,2501.19,D:\Data\ar30-03005.hex,59.94093,-39.523959999999995,7.63975,2540.257,34.8845,34.8841,6.4503,59 56.43 N,039 31.38 W,2018-06-08T18:14:14Z,1.8797,1.88
1,2,3.254998,3.254995,21.1591, 0.5045 (avg),5,ar30-03,Jun 08 2018 19:16:13,2002.132,D:\Data\ar30-03005.hex,59.94079,-39.523709999999994,7.4109300000000005,2030.99,34.911,34.9107,6.1059,59 56.43 N,039 31.38 W,2018-06-08T18:14:14Z,3.0946,3.0948
2,3,3.2775260000000004,3.2776110000000003,33.9696, 0.0295 (avg),5,ar30-03,Jun 08 2018 19:23:05,1702.805,D:\Data\ar30-03005.hex,59.94066,-39.52347,7.33978,1726.112,34.9107,34.9108,6.1053,59 56.43 N,039 31.38 W,2018-06-08T18:14:14Z,3.4883,3.4892
3,4,3.2642580000000003,3.2642919999999997,55.262,-0.1658 (avg),5,ar30-03,Jun 08 2018 19:28:31,1500.9679999999998,D:\Data\ar30-03005.hex,59.94051999999999,-39.52325,7.346439999999999,1520.775,34.8859,34.8863,6.2879,59 56.43 N,039 31.38 W,2018-06-08T18:14:14Z,3.4581,3.4581
4,5,3.243533,3.243598,55.262,-0.5840 (avg),5,ar30-03,Jun 08 2018 19:39:11,1001.806,D:\Data\ar30-03005.hex,59.94022,-39.5227,7.34362,1013.805,34.8753,34.8761,6.5712,59 56.43 N,039 31.38 W,2018-06-08T18:14:14Z,3.4768,3.4767
5,6,3.251393,3.251447,55.262,-0.2725 (avg),5,ar30-03,Jun 08 2018 19:46:25,702.039,D:\Data\ar30-03005.hex,59.94016,-39.5226,7.30388,709.931,34.8973,34.8981,6.4273,59 56.43 N,039 31.38 W,2018-06-08T18:14:14Z,3.6933,3.693
6,7,3.259468,3.259544,55.262,-0.3302 (avg),5,ar30-03,Jun 08 2018 19:52:04,501.92199999999997,D:\Data\ar30-03005.hex,59.94014,-39.52256,7.2710300000000005,507.319,34.9057,34.9067,6.3514,59 56.43 N,039 31.38 W,2018-06-08T18:14:14Z,3.8765,3.8764
7,8,3.275999,3.2760439999999997,55.262,-0.3876 (avg),5,ar30-03,Jun 08 2018 19:57:08,351.14599999999996,D:\Data\ar30-03005.hex,59.9401,-39.522459999999995,7.2254,354.79,34.9072,34.9082,6.3657,59 56.43 N,039 31.38 W,2018-06-08T18:14:14Z,4.1364,4.1359
8,9,3.29875,3.2988440000000003,55.262,-0.1782 (avg),5,ar30-03,Jun 08 2018 20:01:03,251.93400000000003,D:\Data\ar30-03005.hex,59.940059999999995,-39.52239,7.1733899999999995,254.488,34.9129,34.9141,6.2885,59 56.43 N,039 31.38 W,2018-06-08T18:14:14Z,4.4351,4.435
9,10,3.314343,3.31435,55.262,-0.3344 (avg),5,ar30-03,Jun 08 2018 20:03:30,204.395,D:\Data\ar30-03005.hex,59.94,-39.52234,7.13858,206.44299999999998,34.9045,34.9056,6.5434,59 56.43 N,039 31.38 W,2018-06-08T18:14:14Z,4.6406,4.6396
10,11,3.322544,3.322981,55.262,-0.4378 (avg),5,ar30-03,Jun 08 2018 20:06:23,149.98,D:\Data\ar30-03005.hex,59.939980000000006,-39.522240000000004,7.11785,151.46200000000002,34.9,34.9019,6.3341,59 56.43 N,039 31.38 W,2018-06-08T18:14:14Z,4.7637,4.7667
11,12,3.310198,3.310283,55.262,-0.4350 (avg),5,ar30-03,Jun 08 2018 20:08:25,130.5,D:\Data\ar30-03005.hex,59.939919999999994,-39.52214,7.136480000000001,131.784,34.8738,34.875,6.3247,59 56.43 N,039 31.38 W,2018-06-08T18:14:14Z,4.6615,4.6614
12,13,3.317932,3.318199,55.262,-0.2806 (avg),5,ar30-03,Jun 08 2018 20:10:53,100.698,D:\Data\ar30-03005.hex,59.93982,-39.52198,7.11954,101.681,34.8762,34.8774,6.3505,59 56.43 N,039 31.38 W,2018-06-08T18:14:14Z,4.7604,4.7622
13,14,3.317974,3.318139,55.262,-0.2982 (avg),5,ar30-03,Jun 08 2018 20:11:03,100.05799999999999,D:\Data\ar30-03005.hex,59.93982,-39.52198,7.11942,101.035,34.8764,34.8779,6.3516,59 56.43 N,039 31.38 W,2018-06-08T18:14:14Z,4.761,4.7615
14,15,3.3570910000000005,3.357168,55.262,-0.2232 (avg),5,ar30-03,Jun 08 2018 20:13:32,80.87,D:\Data\ar30-03005.hex,59.939730000000004,-39.52182,7.04908,81.656,34.9135,34.9146,6.5546,59 56.43 N,039 31.38 W,2018-06-08T18:14:14Z,5.1685,5.1683
15,16,3.372268,3.3723919999999996,55.262,-0.4130 (avg),5,ar30-03,Jun 08 2018 20:16:21,50.68,D:\Data\ar30-03005.hex,59.93965,-39.52169,7.01778,51.169,34.9055,34.9068,6.6332,59 56.43 N,039 31.38 W,2018-06-08T18:14:14Z,5.3591,5.3592
16,17,3.3854349999999998,3.38553,55.262,-0.4692 (avg),5,ar30-03,Jun 08 2018 20:18:25,41.092,D:\Data\ar30-03005.hex,59.93962,-39.52163,6.99263,41.486999999999995,34.9018,34.9029,6.7282,59 56.43 N,039 31.38 W,2018-06-08T18:14:14Z,5.5126,5.5126
17,18,3.385477,3.385618,55.262,-0.4408 (avg),5,ar30-03,Jun 08 2018 20:18:40,40.451,D:\Data\ar30-03005.hex,59.93962,-39.521640000000005,6.992439999999999,40.84,34.9013,34.9024,6.7276,59 56.43 N,039 31.38 W,2018-06-08T18:14:14Z,5.5139,5.5144
18,19,3.3943480000000004,3.39285,55.262,-0.4775 (avg),5,ar30-03,Jun 08 2018 20:20:38,21.06,D:\Data\ar30-03005.hex,59.93958000000001,-39.52154,6.97187,21.261,34.875,34.8787,6.8305,59 56.43 N,039 31.38 W,2018-06-08T18:14:14Z,5.6468,5.6267
19,20,3.4082199999999996,3.4082470000000002,55.262,-0.6080 (avg),5,ar30-03,Jun 08 2018 20:23:29,12.842,D:\Data\ar30-03005.hex,59.9396,-39.52162,6.945589999999999,12.965,34.8684,34.8696,7.0587,59 56.43 N,039 31.38 W,2018-06-08T18:14:14Z,5.8098,5.809
20,21,3.408979,3.409103,55.262,-0.6411 (avg),5,ar30-03,Jun 08 2018 20:25:55,2.989,D:\Data\ar30-03005.hex,59.93965,-39.52167,6.943239999999999,3.017,34.8668,34.8688,7.0669,59 56.43 N,039 31.38 W,2018-06-08T18:14:14Z,5.8248,5.8242
21,22,3.409069,3.409163,55.262,-0.6654 (avg),5,ar30-03,Jun 08 2018 20:26:25,3.2739999999999996,D:\Data\ar30-03005.hex,59.939659999999996,-39.52169,6.943160000000001,3.305,34.8673,34.8687,7.0791,59 56.43 N,039 31.38 W,2018-06-08T18:14:14Z,5.8251,5.8248
0,1,3.1399939999999997,3.1399220000000003,,,6,ar30-03,Jun 09 2018 14:28:43,,D:\Data\ar30-03006.hdr,,,,2688.6459999999997,34.8865 (avg),,,59 57.97 N,039 30.98 W,2018-06-09T13:38:40Z,1.5133,1.5131
1,2,3.15505,3.155097,,,6,ar30-03,Jun 09 2018 14:34:25,,D:\Data\ar30-03006.hdr,,,,2541.0789999999997,34.8901 (avg),,,59 57.97 N,039 30.98 W,2018-06-09T13:38:40Z,1.748,1.7492
2,3,3.255287,3.255307,,,6,ar30-03,Jun 09 2018 14:59:25,,D:\Data\ar30-03006.hdr,,,,2130.011,34.9086 (avg),,,59 57.97 N,039 30.98 W,2018-06-09T13:38:40Z,3.0553,3.0557
3,4,3.285758,3.285768,,,6,ar30-03,Jun 09 2018 15:06:01,,D:\Data\ar30-03006.hdr,,,,1822.977,34.9227 (avg),,,59 57.97 N,039 30.98 W,2018-06-09T13:38:40Z,3.525,3.5251
4,5,3.266032,3.266057,,,6,ar30-03,Jun 09 2018 15:13:41,,D:\Data\ar30-03006.hdr,,,,1526.7879999999998,34.8802 (avg),,,59 57.97 N,039 30.98 W,2018-06-09T13:38:40Z,3.4807,3.4806
5,6,3.260472,3.260503,,,6,ar30-03,Jun 09 2018 15:21:15,,D:\Data\ar30-03006.hdr,,,,1217.468,34.8838 (avg),,,59 57.97 N,039 30.98 W,2018-06-09T13:38:40Z,3.5611,3.5608
6,7,3.261812,3.261873,,,6,ar30-03,Jun 09 2018 15:27:03,,D:\Data\ar30-03006.hdr,,,,1010.3610000000001,34.8940 (avg),,,59 57.97 N,039 30.98 W,2018-06-09T13:38:40Z,3.6662,3.6661
7,8,3.259531,3.259582,,,6,ar30-03,Jun 09 2018 15:32:10,,D:\Data\ar30-03006.hdr,,,,811.633,34.8960 (avg),,,59 57.97 N,039 30.98 W,2018-06-09T13:38:40Z,3.7356,3.7354
8,9,3.2789599999999997,3.2789599999999997,,,6,ar30-03,Jun 09 2018 15:37:43,,D:\Data\ar30-03006.hdr,,,,606.768,34.9050 (avg),,,59 57.97 N,039 30.98 W,2018-06-09T13:38:40Z,4.0456,4.0446
9,10,3.3161940000000003,3.316193,,,6,ar30-03,Jun 09 2018 15:43:28,,D:\Data\ar30-03006.hdr,,,,405.744,34.9140 (avg),,,59 57.97 N,039 30.98 W,2018-06-09T13:38:40Z,4.552,4.551
10,11,3.316962,3.3171169999999996,,,6,ar30-03,Jun 09 2018 15:47:08,,D:\Data\ar30-03006.hdr,,,,306.98400000000004,34.8904 (avg),,,59 57.97 N,039 30.98 W,2018-06-09T13:38:40Z,4.6324,4.633
11,12,3.324043,3.3242019999999997,,,6,ar30-03,Jun 09 2018 15:50:35,,D:\Data\ar30-03006.hdr,,,,204.672,34.8834 (avg),,,59 57.97 N,039 30.98 W,2018-06-09T13:38:40Z,4.7692,4.7697
12,13,3.323861,3.323837,,,6,ar30-03,Jun 09 2018 15:50:52,,D:\Data\ar30-03006.hdr,,,,203.609,34.8832 (avg),,,59 57.97 N,039 30.98 W,2018-06-09T13:38:40Z,4.7679,4.7664
13,14,3.3282910000000006,3.3283730000000005,,,6,ar30-03,Jun 09 2018 15:53:07,,D:\Data\ar30-03006.hdr,,,,176.358,34.8892 (avg),,,59 57.97 N,039 30.98 W,2018-06-09T13:38:40Z,4.8251,4.8249
14,15,3.351036,3.351139,,,6,ar30-03,Jun 09 2018 15:55:19,,D:\Data\ar30-03006.hdr,,,,151.803,34.9096 (avg),,,59 57.97 N,039 30.98 W,2018-06-09T13:38:40Z,5.0698,5.0698
15,16,3.3511849999999996,3.3512440000000003,,,6,ar30-03,Jun 09 2018 15:55:33,,D:\Data\ar30-03006.hdr,,,,151.261,34.9099 (avg),,,59 57.97 N,039 30.98 W,2018-06-09T13:38:40Z,5.0716,5.071
16,17,3.3717989999999998,3.371885,,,6,ar30-03,Jun 09 2018 15:58:05,,D:\Data\ar30-03006.hdr,,,,101.242,34.9157 (avg),,,59 57.97 N,039 30.98 W,2018-06-09T13:38:40Z,5.3189,5.3187
17,18,3.3718269999999997,3.371932,,,6,ar30-03,Jun 09 2018 15:58:12,,D:\Data\ar30-03006.hdr,,,,101.898,34.9156 (avg),,,59 57.97 N,039 30.98 W,2018-06-09T13:38:40Z,5.3189,5.3189
18,19,3.396497,3.3965959999999997,,,6,ar30-03,Jun 09 2018 16:01:05,,D:\Data\ar30-03006.hdr,,,,51.376000000000005,34.8962 (avg),,,59 57.97 N,039 30.98 W,2018-06-09T13:38:40Z,5.6348,5.6346
19,20,3.39641,3.396644,,,6,ar30-03,Jun 09 2018 16:01:13,,D:\Data\ar30-03006.hdr,,,,51.706,34.8946 (avg),,,59 57.97 N,039 30.98 W,2018-06-09T13:38:40Z,5.6352,5.6349
20,21,3.4100610000000002,3.410114,,,6,ar30-03,Jun 09 2018 16:03:22,,D:\Data\ar30-03006.hdr,,,,20.613000000000003,34.9041 (avg),,,59 57.97 N,039 30.98 W,2018-06-09T13:38:40Z,5.7917,5.7912
21,22,3.410308,3.4103790000000003,,,6,ar30-03,Jun 09 2018 16:03:31,,D:\Data\ar30-03006.hdr,,,,20.656,34.9040 (avg),,,59 57.97 N,039 30.98 W,2018-06-09T13:38:40Z,5.7945,5.794
22,23,3.419536,3.419573,,,6,ar30-03,Jun 09 2018 16:05:03,,D:\Data\ar30-03006.hdr,,,,10.094,34.8772 (avg),,,59 57.97 N,039 30.98 W,2018-06-09T13:38:40Z,5.9271,5.9268
